Site,Latitude,Longitude,Time,Type,Protocol,Latency,Average Latency,Total Latency,Forecast max,Forecast min,Confidence Level,Volatility
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,HTTP,76.57,68.42,69.08,80.52,73.04,95.23,0.6
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,HTTPS,80.33,68.42,69.08,84.52,76.43,96.92,0.96
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,TCP,78.5,68.42,69.08,82.58,74.91,99.38,0.82
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,ICMP,39.67,68.42,69.08,42,38.22,96.61,0.47
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,TWAMP,74.93,68.42,69.08,79.43,71.81,95.55,0.14
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,UDP,60.5,68.42,69.08,64.18,57.82,95.86,0.71
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,HTTP,73.45,58.3,62.36,77.07,70.38,99.88,0.88
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,HTTPS,87.46,58.3,62.36,91.64,83.46,99.05,0.17
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,TCP,56.63,58.3,62.36,58.88,53.73,97.05,0.52
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,ICMP,38.06,58.3,62.36,39.43,35.37,95.55,0.74
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,TWAMP,71.07,58.3,62.36,74.1,67.58,97.64,0.72
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,UDP,23.13,58.3,62.36,24.67,22.19,96.34,0.26
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,HTTP,74.76,66.43,62.36,78.75,70.36,95.37,0.75
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,HTTPS,82.1,66.43,62.36,86.35,77.21,97.27,0.43
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,TCP,80.64,66.43,62.36,85.26,77.26,98.94,0.83
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,ICMP,61.4,66.43,62.36,63.87,58.84,99.97,0.47
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,TWAMP,48.83,66.43,62.36,51.64,46.64,98.31,0.05
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,UDP,50.83,66.43,62.36,52.62,48.22,98.3,0.11
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,HTTP,71.75,64.95,65.54,75.95,68.14,96.72,0.81
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,HTTPS,95.29,64.95,65.54,99.66,89.75,97.48,0.56
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,TCP,53.62,64.95,65.54,55.73,50.38,97.02,0.66
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,ICMP,53.3,64.95,65.54,55.21,50.77,95.01,0.82
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,TWAMP,75.4,64.95,65.54,78.96,71.93,98.51,0.49
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,UDP,40.31,64.95,65.54,43.03,37.74,95.89,0.59
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,HTTP,70.72,66.13,65.54,74.08,66.56,98.98,0.69
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,HTTPS,73.32,66.13,65.54,76.91,69.46,96.2,0.54
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,TCP,80.13,66.13,65.54,83.37,76.44,96.24,0.97
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,ICMP,55.55,66.13,65.54,58.88,52.95,98.22,0.19
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,TWAMP,59.14,66.13,65.54,62.17,55.63,95.06,0.47
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,UDP,57.91,66.13,65.54,60.37,55.07,99.91,0.06
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,HTTP,79.82,63.29,65.77,84,75.19,95.96,0.45
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,HTTPS,72.14,63.29,65.77,75.3,69.02,96.49,0.39
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,TCP,66.62,63.29,65.77,69.22,63.36,97.22,0.67
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,ICMP,59.28,63.29,65.77,62.65,56.78,95.17,0.59
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,TWAMP,47.57,63.29,65.77,50.64,45.06,95.82,0.03
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,UDP,54.29,63.29,65.77,57.2,51.73,98.35,0.53
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,HTTP,69.31,68.25,65.77,72.42,65.31,97.75,0.67
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,HTTPS,95.72,68.25,65.77,100.73,91.33,95.63,0.75
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,TCP,87.02,68.25,65.77,91.93,83.16,95.35,0.34
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,ICMP,43.53,68.25,65.77,45.41,41.16,95.2,0.58
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,TWAMP,60.82,68.25,65.77,63.87,57.66,99.99,0.2
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,UDP,53.12,68.25,65.77,55.16,50.18,97.28,0.87
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,HTTP,66.33,56.57,61.04,69.17,63.12,95.91,0.11
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,HTTPS,83.64,56.57,61.04,88.17,79.28,97.95,0.33
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,TCP,59.18,56.57,61.04,61.61,56.09,95.55,0.73
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,ICMP,44.13,56.57,61.04,46.67,41.24,97.78,0.9
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,TWAMP,50.82,56.57,61.04,53.73,48.79,99.3,0.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,UDP,35.32,56.57,61.04,36.98,32.87,96.68,0.02
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,HTTP,75.65,65.51,61.04,79.63,71.19,99.17,0.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,HTTPS,84.15,65.51,61.04,88.64,79.39,98.59,0.71
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,TCP,87.96,65.51,61.04,92.19,83.85,96.78,0.28
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,ICMP,48.74,65.51,61.04,50.47,46.06,97.25,0.79
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,TWAMP,73.37,65.51,61.04,76.55,68.92,95.98,0.68
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,UDP,23.18,65.51,61.04,24.86,22.28,96.1,0.3
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,HTTP,80.17,68.53,64.64,83.52,76.23,95.25,0.15
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,HTTPS,94.69,68.53,64.64,99.66,89.32,97.75,0.45
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,TCP,86.6,68.53,64.64,90.34,82.13,97.62,0.51
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,ICMP,44.86,68.53,64.64,46.83,42.77,96.42,0.51
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,TWAMP,72.07,68.53,64.64,75.55,68.64,97.3,0.31
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,UDP,32.76,68.53,64.64,33.98,31.19,96.23,0.34
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,HTTP,71.95,60.75,64.64,74.94,68.18,99.83,0.87
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,HTTPS,77.69,60.75,64.64,82.23,74.54,97.06,0.61
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,TCP,63,60.75,64.64,65.56,60.1,96.07,0.9
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,ICMP,43.67,60.75,64.64,45.7,42.19,96.53,0.57
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,TWAMP,70.53,60.75,64.64,74.31,66.88,99.64,0.34
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,UDP,37.66,60.75,64.64,39.03,35.73,98.64,0.09
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,HTTP,72.22,64.45,65.77,76.35,68.46,98.95,0.77
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,HTTPS,91.94,64.45,65.77,95.85,88.05,96.31,0.77
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,TCP,82.51,64.45,65.77,86.95,77.76,96.92,0.84
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,ICMP,38.81,64.45,65.77,41.17,37.25,99.09,0.39
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,TWAMP,63.32,64.45,65.77,66.12,59.83,96.2,0.21
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,UDP,37.88,64.45,65.77,39.83,36.63,99.75,0.4
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,HTTP,68.51,67.1,65.77,71.18,64.93,97.14,0.26
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,HTTPS,84.95,67.1,65.77,89.32,81.35,95.82,0.05
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,TCP,82.39,67.1,65.77,86.97,77.63,97.7,0.63
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,ICMP,55.83,67.1,65.77,58.23,52.51,97.91,0.08
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,TWAMP,61.02,67.1,65.77,63.83,58.57,97.13,0.74
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,UDP,49.91,67.1,65.77,52.12,47.22,95.64,0.35
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,HTTP,68.54,59.44,63.17,71.9,65.43,95.64,0.8
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,HTTPS,79.02,59.44,63.17,83.31,74.73,98.53,0.09
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,TCP,62.48,59.44,63.17,66.08,59.08,97.11,0.91
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,ICMP,61.15,59.44,63.17,63.5,57.56,99.62,0.96
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,TWAMP,51.96,59.44,63.17,55.17,49.83,98.09,0.99
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,UDP,33.49,59.44,63.17,35.66,32.49,99.8,0.85
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,HTTP,76.05,66.91,63.17,79.23,71.55,95.57,1
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,HTTPS,73.95,66.91,63.17,78.18,70.99,95.1,0.63
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,TCP,66.33,66.91,63.17,69.37,62.54,95.56,0.01
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,ICMP,63.45,66.91,63.17,66.23,59.52,99.42,0.74
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,TWAMP,57.79,66.91,63.17,60.53,54.73,99.1,0.25
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,UDP,63.86,66.91,63.17,67.54,61.19,99.89,0.97
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,HTTP,69.93,63.12,62.3,73.56,67.1,95.83,0.83
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,HTTPS,75.66,63.12,62.3,78.74,72.17,97.57,0.97
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,TCP,72.32,63.12,62.3,76.38,67.93,97.65,0.86
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,ICMP,49.51,63.12,62.3,51.93,47.79,97.09,0.53
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,TWAMP,73.92,63.12,62.3,77.55,70.84,99.05,0.3
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,UDP,37.38,63.12,62.3,39.68,35.63,99.79,0.82
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,HTTP,81.25,61.49,62.3,85.1,77.15,98.71,0.08
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,HTTPS,90.07,61.49,62.3,95.33,84.85,98.7,0.01
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,TCP,58.4,61.49,62.3,61.25,56.04,96.2,0.37
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,ICMP,62.34,61.49,62.3,66.11,59.32,97.43,0.08
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,TWAMP,48.18,61.49,62.3,50.6,45.22,99.5,0.06
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,UDP,28.68,61.49,62.3,29.49,28.04,98.25,0.42
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,HTTP,65.04,61.5,62.26,68.82,61.75,99.02,0.89
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,HTTPS,79.91,61.5,62.26,84.63,76.65,98.17,0.84
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,TCP,75.57,61.5,62.26,79.6,72.46,96.46,0.86
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,ICMP,42.49,61.5,62.26,44.51,40.35,96.64,0.29
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,TWAMP,53.52,61.5,62.26,55.45,51.4,96.55,0.75
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,UDP,52.45,61.5,62.26,55.71,49.85,98.34,0.94
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,HTTP,78.75,63.02,62.26,83.05,74.14,97.29,0.56
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,HTTPS,88.49,63.02,62.26,92.35,84.16,96.15,0.14
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,TCP,67.82,63.02,62.26,70.97,65.06,99.2,0.04
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,ICMP,58.88,63.02,62.26,61.59,56.01,95.78,0.57
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,TWAMP,61.62,63.02,62.26,63.96,58.19,96.33,0.51
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,UDP,22.55,63.02,62.26,24.06,21.74,97.62,0.68
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,HTTP,79.21,68.73,64.25,83.6,74.79,95.59,0.01
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,HTTPS,74.99,68.73,64.25,79.29,71.72,96.5,0.57
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,TCP,67.43,68.73,64.25,70.89,64.85,99.01,0.71
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,ICMP,60.52,68.73,64.25,62.9,57.12,98.44,0.81
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,TWAMP,69.66,68.73,64.25,72.97,65.47,97.82,0.5
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,UDP,60.56,68.73,64.25,63.01,56.94,95.74,0.6
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,HTTP,67.75,59.77,64.25,70.78,64.22,98.54,0.59
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,HTTPS,81.86,59.77,64.25,86.53,77.19,98.56,0.21
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,TCP,76.11,59.77,64.25,79.48,72.26,98.79,0.13
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,ICMP,45.75,59.77,64.25,47.46,43.36,98.65,0.39
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,TWAMP,61.97,59.77,64.25,65.48,58.62,96.42,0.61
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,UDP,25.19,59.77,64.25,27.16,23.48,98.14,0.2
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,HTTP,78.97,67.03,64.82,83.57,75.61,99.33,0.37
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,HTTPS,81.46,67.03,64.82,85.6,76.78,97.72,0.42
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,TCP,73.74,67.03,64.82,77.43,70.06,99.17,0.74
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,ICMP,59.89,67.03,64.82,63.06,57.58,96.15,0.76
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,TWAMP,47.28,67.03,64.82,49.08,44.83,99.54,0.4
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,UDP,60.82,67.03,64.82,64.09,57.07,97.84,0.1
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,HTTP,66.8,62.61,64.82,69.73,62.71,99.49,0.33
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,HTTPS,77.49,62.61,64.82,80.92,73.52,98.82,0.74
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,TCP,67.79,62.61,64.82,70.55,64.3,98.26,0.48
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,ICMP,53.29,62.61,64.82,55.45,50.67,96.27,0.4
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,TWAMP,62.88,62.61,64.82,65.45,60.42,99,0.91
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,UDP,47.41,62.61,64.82,50.02,44.74,98.83,0.89
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,HTTP,74.48,64.06,64.34,78.17,71.27,98.17,0.96
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,HTTPS,88.85,64.06,64.34,93.73,84.65,98.42,0.19
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,TCP,71.72,64.06,64.34,75.43,68.88,96.97,0.01
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,ICMP,41.74,64.06,64.34,43.88,39.85,99.27,0.6
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,TWAMP,64.46,64.06,64.34,67.29,61.99,98.63,0.99
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,UDP,43.13,64.06,64.34,45.03,40.3,99.74,0.08
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,HTTP,66.57,64.62,64.34,70.68,63.89,96.85,0.36
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,HTTPS,78.06,64.62,64.34,82.64,74.01,97.81,1
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,TCP,66.99,64.62,64.34,70.79,63.12,98.88,0.67
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,ICMP,55.19,64.62,64.34,57.81,52.58,96.34,0.92
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,TWAMP,75,64.62,64.34,79.35,71.26,97.23,0.4
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,UDP,45.94,64.62,64.34,47.62,43,96.33,0.19
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,HTTP,77.49,64.79,65.41,82.08,72.97,97.41,0.69
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,HTTPS,97.18,64.79,65.41,102.12,92.24,98.83,0.41
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,TCP,59.19,64.79,65.41,61.81,55.96,96.91,0.14
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,ICMP,56.51,64.79,65.41,58.73,53.52,98.26,0.85
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,TWAMP,69.78,64.79,65.41,73.37,66.34,98.28,0.64
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,UDP,28.57,64.79,65.41,30.67,27.01,97.54,0.42
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,HTTP,70.64,66.04,65.41,73.68,67.11,97.19,0.35
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,HTTPS,89.58,66.04,65.41,93.3,84.86,99.62,0.88
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,TCP,68.78,66.04,65.41,71.67,64.8,97.25,0.48
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,ICMP,47.09,66.04,65.41,49.13,45.44,97.66,0.13
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,TWAMP,68.65,66.04,65.41,71.8,65.43,95.34,0.25
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,UDP,51.48,66.04,65.41,53.83,48.65,99.94,0.86
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,HTTP,80.29,62.59,63.83,84.4,75.65,98.85,0.94
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,HTTPS,95.34,62.59,63.83,99.79,90.67,96.73,0.54
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,TCP,76.68,62.59,63.83,80.33,72.58,95.36,0.9
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,ICMP,38.78,62.59,63.83,40.77,36.53,98.93,0.91
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,TWAMP,45.47,62.59,63.83,47.6,43.52,97.91,0.02
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,UDP,38.98,62.59,63.83,41.41,36.39,97.07,0.49
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,HTTP,77.61,65.07,63.83,81.39,74.17,99.12,0.24
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,HTTPS,88.35,65.07,63.83,92.72,84.13,96.51,0.4
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,TCP,62.84,65.07,63.83,65.46,59.71,99.34,0.72
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,ICMP,62.95,65.07,63.83,65.7,60.42,95.93,0.41
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,TWAMP,68.12,65.07,63.83,71.46,64,97.42,0.5
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,UDP,30.53,65.07,63.83,31.97,29.78,95.48,0.55
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,HTTP,69.55,57.31,64.32,73.82,66.41,95.04,0.27
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,HTTPS,72.51,57.31,64.32,75.62,69.51,96.83,0.99
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,TCP,59.51,57.31,64.32,62.66,56.92,97.06,0.17
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,ICMP,63.34,57.31,64.32,67,60.25,97.89,0.5
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,TWAMP,51.12,57.31,64.32,54.3,48.48,96.09,0.61
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,UDP,27.81,57.31,64.32,28.85,27.04,95.02,0.7
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,HTTP,77.87,71.34,64.32,81.77,74.44,96.68,0.59
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,HTTPS,92.2,71.34,64.32,96.62,87.88,96.71,0.59
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,TCP,80.11,71.34,64.32,83.99,76.12,96.85,0.58
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,ICMP,63.2,71.34,64.32,65.58,60.38,98.33,0.29
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,TWAMP,53.27,71.34,64.32,55.14,50.22,95.28,0.05
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,UDP,61.4,71.34,64.32,65.09,58.94,99.66,0.43
